network,network_label,strategy,strategy_label,request_count,request_count_ci95,request_count_seed_n,mean_ttft_ms,mean_ttft_ms_ci95,mean_ttft_ms_seed_n,mean_e2e_ms,mean_e2e_ms_ci95,mean_e2e_ms_seed_n,p95_e2e_ms,p95_e2e_ms_ci95,p95_e2e_ms_seed_n,p99_e2e_ms,p99_e2e_ms_ci95,p99_e2e_ms_seed_n,mean_tpot_ms,mean_tpot_ms_ci95,mean_tpot_ms_seed_n,mean_throughput_tps,mean_throughput_tps_ci95,mean_throughput_tps_seed_n,cache_hit_ratio,cache_hit_ratio_ci95,cache_hit_ratio_seed_n,prefix_hit_ratio,prefix_hit_ratio_ci95,prefix_hit_ratio_seed_n,mean_bandwidth_bytes,mean_bandwidth_bytes_ci95,mean_bandwidth_bytes_seed_n,mean_vram_peak_gb,mean_vram_peak_gb_ci95,mean_vram_peak_gb_seed_n,privacy_exposure_rate,privacy_exposure_rate_ci95,privacy_exposure_rate_seed_n,mean_quality,mean_quality_ci95,mean_quality_seed_n
congested,Congested,cloud_only,Cloud-only,100.0,0.0,5,924.2711154409942,107.4104366314657,5,2074.3370669614346,111.40496319864704,5,4555.160560037523,102.28231255457997,5,4904.432263205135,148.80212389984885,5,8.474576271186441,0.0,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2399.936,232.8051456763782,5,0.0,0.0,5,1.0,0.0,5,0.9316968999999998,0.0014715131914366864,5
congested,Congested,edge_only,Edge-only,100.0,0.0,5,4550.69551151043,2503.46316590274,5,6465.108428986147,2501.4556582236405,5,10744.754648410517,3131.0774037379197,5,12573.517383390366,2676.171409429172,5,14.705882352941183,2.465978625918724e-15,5,68.0,0.0,5,0.0,0.0,5,0.0,0.0,5,671.086,65.17697498334887,5,3.788131286621094,0.004107118403701665,5,0.0,0.0,5,0.82627765,0.002802146240929721,5
congested,Congested,ours,Ours,100.0,0.0,5,417.056768435693,53.188679416889144,5,1230.2456070784447,62.537871871414765,5,3297.603801273265,248.40915705611778,5,4499.858111615054,226.60191597347028,5,6.086497619763753,0.5145440754986341,5,1168.6251392960176,59.92324933611851,5,0.414,0.0225559466629904,5,0.484,0.02720349522633022,5,1557.7939999999999,273.55486742354856,5,0.5651082305908204,0.31342786258141825,5,0.0,0.0,5,0.9139339959999999,0.01854645054035099,5
congested,Congested,static_threshold,Static-threshold,100.0,0.0,5,4550.6767239204755,2476.975364201433,5,6465.504798876967,2468.751773063457,5,10698.545285332137,3014.769454908369,5,12567.674393563393,2626.8009334022536,5,14.705882352941183,2.465978625918724e-15,5,68.0,0.0,5,0.0,0.0,5,0.0,0.0,5,671.086,65.17697498334887,5,3.788131286621094,0.004107118403701665,5,0.0,0.0,5,0.82627765,0.002802146240929721,5
mobile_4g5g,4G/5G,cloud_only,Cloud-only,100.0,0.0,5,889.0935931909158,109.33448977722512,5,2010.326623188964,115.50258334065077,5,4459.1567615148215,150.14699622963926,5,4788.182403738176,198.08521707849354,5,8.474576271186441,0.0,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2399.936,232.8051456763782,5,0.0,0.0,5,1.0,0.0,5,0.9316968999999998,0.0014715131914366864,5
mobile_4g5g,4G/5G,edge_only,Edge-only,100.0,0.0,5,4539.401478792276,2488.1078280394468,5,6445.487607758761,2483.485809033833,5,10656.03903938206,3022.931970325604,5,12647.106484344928,2697.8437571173895,5,14.705882352941183,2.465978625918724e-15,5,68.0,0.0,5,0.0,0.0,5,0.0,0.0,5,671.086,65.17697498334887,5,3.788131286621094,0.004107118403701665,5,0.0,0.0,5,0.82627765,0.002802146240929721,5
mobile_4g5g,4G/5G,ours,Ours,100.0,0.0,5,403.68611701236216,45.47965640438233,5,1174.253850188866,68.4271573793252,5,3189.2334289775285,212.1180459207371,5,4422.427444304416,267.6309243299186,5,5.774668892760279,0.26459084632107466,5,1172.9670020236642,62.78167783032152,5,0.414,0.0225559466629904,5,0.49000000000000005,0.023229406353851893,5,1603.6699999999996,229.5798460031237,5,0.37697889709472665,0.10966428166843532,5,0.0,0.0,5,0.9283036360000001,0.004812058932786983,5
mobile_4g5g,4G/5G,static_threshold,Static-threshold,100.0,0.0,5,1072.2744569792999,173.6242234473978,5,2414.1317748442752,206.62444454490387,5,7163.10611462722,280.3317810228533,5,8241.888258125811,789.3241803678696,5,9.925010682238996,0.23587919208440142,5,106.644,1.8447299684247758,5,0.0,0.0,5,0.0,0.0,5,1658.4260000000002,79.66654805046677,5,0.8446052685546876,0.1424876385980097,5,0.0,0.0,5,0.905409748,0.005823934357442431,5
weak,Weak,cloud_only,Cloud-only,100.0,0.0,5,992.7255397830484,110.53418923690167,5,2196.7010109155226,114.6734254128078,5,4712.125429179058,153.18582316509074,5,5076.064270746317,200.07916591809814,5,8.474576271186441,0.0,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2399.936,232.8051456763782,5,0.0,0.0,5,1.0,0.0,5,0.9316968999999998,0.0014715131914366864,5
weak,Weak,edge_only,Edge-only,100.0,0.0,5,4548.18525971626,2471.6987229282145,5,6470.870523476324,2465.4214681559843,5,10843.852358063723,3045.7059010926346,5,12665.633113386955,2647.521456282478,5,14.705882352941183,2.465978625918724e-15,5,68.0,0.0,5,0.0,0.0,5,0.0,0.0,5,671.086,65.17697498334887,5,3.788131286621094,0.004107118403701665,5,0.0,0.0,5,0.82627765,0.002802146240929721,5
