network,network_label,baseline,baseline_label,metric,ours_mean,baseline_mean,improvement_pct,t_statistic,p_value,effect_size_d,significance
congested,Congested,cloud_only,Cloud-only,mean_e2e_ms,1230.2456070784447,2074.3370669614346,40.69210705082978,34.297923584999495,4.311443295661235e-06,15.338497724630434,***
congested,Congested,cloud_only,Cloud-only,p95_e2e_ms,3297.603801273265,4555.160560037523,27.60729818827502,20.606654477729137,3.275921984118876e-05,9.215576040210555,***
congested,Congested,cloud_only,Cloud-only,privacy_exposure_rate,0.0,1.0,100.0,inf,0.0,0.0,***
congested,Congested,cloud_only,Cloud-only,mean_quality,0.9139339959999999,0.9316968999999998,1.9065110123259954,2.590043733773474,0.06068111567349917,1.1583027706829712,ns
congested,Congested,edge_only,Edge-only,mean_e2e_ms,1230.2456070784447,6465.108428986147,80.97099808005275,5.927105520672198,0.004060250687043292,2.650682170807464,**
congested,Congested,edge_only,Edge-only,p95_e2e_ms,3297.603801273265,10744.754648410517,69.30964075795735,6.460538113147411,0.002956024046166769,2.8892404784451675,**
congested,Congested,edge_only,Edge-only,privacy_exposure_rate,0.0,0.0,0.0,0.0,1.0,0.0,ns
congested,Congested,edge_only,Edge-only,mean_quality,0.9139339959999999,0.82627765,-10.608582478298914,-12.74793202816881,0.00021816393558777078,-5.701048517506444,***
congested,Congested,static_threshold,Static-threshold,mean_e2e_ms,1230.2456070784447,6465.504798876967,80.97216465925237,6.007757096498759,0.003864192872137226,2.6867506520155975,**
congested,Congested,static_threshold,Static-threshold,p95_e2e_ms,3297.603801273265,10698.545285332137,69.17708236656878,6.64601884586652,0.002660981691431693,2.972189983820447,**
congested,Congested,static_threshold,Static-threshold,privacy_exposure_rate,0.0,0.0,0.0,0.0,1.0,0.0,ns
congested,Congested,static_threshold,Static-threshold,mean_quality,0.9139339959999999,0.82627765,-10.608582478298914,-12.74793202816881,0.00021816393558777078,-5.701048517506444,***
mobile_4g5g,4G/5G,cloud_only,Cloud-only,mean_e2e_ms,1174.253850188866,2010.326623188964,41.58890218912999,40.814427721755926,2.1535766702891507e-06,18.252766969719623,***
mobile_4g5g,4G/5G,cloud_only,Cloud-only,p95_e2e_ms,3189.2334289775285,4459.1567615148215,28.479001758751497,44.33032714086484,1.548373181285131e-06,19.825124990355533,***
