network,network_label,strategy,request_count,mean_ttft_ms,mean_e2e_ms,p95_e2e_ms,p99_e2e_ms,mean_tpot_ms,mean_throughput_tps,cache_hit_ratio,prefix_hit_ratio,mean_bandwidth_bytes,mean_vram_peak_gb,privacy_exposure_rate,mean_quality,strategy_label
congested,Congested,cloud_only,1000.0,1083.1025894900545,2225.44408814829,6482.0964427312565,7842.3718372005405,8.47457627118644,118.0,0.0,0.0,2758.019,0.0,1.0,0.931406794,Cloud-only
congested,Congested,edge_only,1000.0,23539.3913453776,25438.076244362805,41701.60554906432,44994.0261025549,14.705882352941181,68.0,0.0,0.0,771.371,3.794542060852051,0.0,0.826075789,Edge-only
congested,Congested,no_privacy,1000.0,317.676874030414,708.3317855563222,4076.634945615193,5104.6618054805895,2.7732031704513367,2020.7094305489325,0.743,0.244,1462.335,0.15811496734619143,0.5609756097560976,0.925371819,No-privacy
congested,Congested,ours,1000.0,319.58173520150234,741.7455852464493,4012.2934292349596,5159.771052094393,3.0596680658793693,2019.4294634018,0.743,0.246,1400.78,0.3313307647705079,0.0,0.920128059,Ours
congested,Congested,semantic_cache_only,1000.0,624.1094362619787,990.2962481896116,6381.035913386738,7535.541575592016,2.511667732275676,2020.6055113253256,0.743,0.0,1513.268,0.0,1.0,0.931566304,Semantic-cache-only
congested,Congested,static_threshold,1000.0,23527.91161482755,25426.29963105574,41781.93888445694,44822.70841833173,14.705882352941181,68.0,0.0,0.0,771.371,3.794542060852051,0.0,0.826075789,Static-threshold
mobile_4g5g,4G/5G,cloud_only,1000.0,1047.684664353973,2161.15433640288,6337.791901276162,7726.4875772924015,8.47457627118644,118.0,0.0,0.0,2758.019,0.0,1.0,0.931406794,Cloud-only
mobile_4g5g,4G/5G,edge_only,1000.0,23496.706070746444,25385.22066276695,41420.090920923416,44643.06877441007,14.705882352941181,68.0,0.0,0.0,771.371,3.794542060852051,0.0,0.826075789,Edge-only
mobile_4g5g,4G/5G,no_privacy,1000.0,306.49716374660466,665.8024142796771,3953.523431322466,5176.628922053452,2.5123763180413397,2015.4756278973637,0.743,0.247,1513.268,0.0,1.0,0.9411863039999999,No-privacy
mobile_4g5g,4G/5G,ours,1000.0,311.42879848849503,724.6918474441998,3939.8345677289904,5175.869121329883,3.0222923250256906,2017.9442752903294,0.743,0.247,1406.228,0.3087544479370118,0.0,0.9317474640000001,Ours
mobile_4g5g,4G/5G,semantic_cache_only,1000.0,615.9771085178705,975.4643867079313,6257.97599916758,7720.378728838028,2.511595990496787,2021.590527912605,0.743,0.0,1513.268,0.0,1.0,0.931566304,Semantic-cache-only
mobile_4g5g,4G/5G,static_threshold,1000.0,1380.9499195723915,2695.982891461515,10058.307541990489,12984.087571015174,9.78840858377249,107.646,0.0,0.0,1745.449,0.7843045184326173,0.0,0.907603478,Static-threshold
weak,Weak,cloud_only,1000.0,1151.2623307002607,2347.6222736943496,6512.7171044367515,7966.2038149989085,8.47457627118644,118.0,0.0,0.0,2758.019,0.0,1.0,0.931406794,Cloud-only
weak,Weak,edge_only,1000.0,23546.637203320013,25458.361039547603,41720.44513003129,45100.44833418564,14.705882352941181,68.0,0.0,0.0,771.371,3.794542060852051,0.0,0.826075789,Edge-only
weak,Weak,no_privacy,1000.0,337.88691278167676,786.5695843313159,4221.0306846691865,5360.967149125297,3.2159338114253346,2012.8372414880193,0.743,0.246,1374.7,0.42543318939208996,0.012195121951219513,0.866530349,No-privacy
weak,Weak,ours,1000.0,338.9636229526426,789.0307323374321,4225.283523844041,5313.138851134476,3.2220195904148987,2013.590085514348,0.743,0.247,1372.977,0.4292108001708986,0.0,0.866430844,Ours
weak,Weak,semantic_cache_only,1000.0,650.4263390949585,1031.9802804820724,6583.701874173679,7972.069174727549,2.511408809544435,2022.8471006922475,0.743,0.0,1513.268,0.0,1.0,0.931566304,Semantic-cache-only
weak,Weak,static_threshold,1000.0,23509.366233559933,25418.16698802039,41656.19012990722,44881.91439661073,14.705882352941181,68.0,0.0,0.0,771.371,3.794542060852051,0.0,0.826075789,Static-threshold
wifi_good,WiFi Good,cloud_only,1000.0,1022.4718550009609,2113.3983100330847,6245.167650711452,7464.940057171306,8.47457627118644,118.0,0.0,0.0,2758.019,0.0,1.0,0.931406794,Cloud-only
wifi_good,WiFi Good,edge_only,1000.0,23535.60773221311,25421.225022905528,41584.69091456442,45043.77412371732,14.705882352941181,68.0,0.0,0.0,771.371,3.794542060852051,0.0,0.826075789,Edge-only
wifi_good,WiFi Good,no_privacy,1000.0,300.1078873314251,652.769884207068,3917.2471231421805,5061.092044224732,2.511583420553127,2020.773591339752,0.743,0.247,1513.268,0.0,1.0,0.9411863039999999,No-privacy
wifi_good,WiFi Good,ours,1000.0,308.4268589179955,717.8449191731727,3957.732328800091,5116.935861767518,3.0221639725590608,2019.3096306950063,0.743,0.247,1406.228,0.3087544479370118,0.0,0.9317474640000001,Ours
wifi_good,WiFi Good,semantic_cache_only,1000.0,608.0404794889641,961.141082744162,6183.670824934401,7670.641307174418,2.5116259590694807,2021.4064753143007,0.743,0.0,1513.268,0.0,1.0,0.931566304,Semantic-cache-only
wifi_good,WiFi Good,static_threshold,1000.0,1360.8480883623445,2655.1411375992225,10115.570648050154,13067.220924294392,9.78840858377249,107.646,0.0,0.0,1745.449,0.7843045184326173,0.0,0.907603478,Static-threshold
