model_label,model_scale_b,strategy,strategy_label,required_vram_peak_gb,required_vram_peak_gb_ci95,required_vram_peak_gb_seed_n
Gemma-2-2B,2.0,edge_only,Edge-only,2.6004071044921875,0.0036470130028459363,5
Gemma-2-2B,2.0,ours,Ours,2.5119862365722656,0.004237983014316049,5
Gemma-2-2B,2.0,static_threshold,Static-threshold,2.6004071044921875,0.0036470130028459363,5
Llama-3.2-1B,1.0,edge_only,Edge-only,1.7440966796875,0.0022443156940590374,5
Llama-3.2-1B,1.0,ours,Ours,1.7409411621093749,0.0026873826706880137,5
Llama-3.2-1B,1.0,static_threshold,Static-threshold,1.7440966796875,0.0022443156940590374,5
Qwen2.5-0.5B,0.5,edge_only,Edge-only,1.4655725097656251,0.001683236770544278,5
Qwen2.5-0.5B,0.5,ours,Ours,1.4632791137695313,0.002216752251977511,5
Qwen2.5-0.5B,0.5,static_threshold,Static-threshold,1.4655725097656251,0.001683236770544278,5
Qwen2.5-3B,3.0,edge_only,Edge-only,2.939669189453125,0.003927552464603316,5
Qwen2.5-3B,3.0,ours,Ours,2.844446716308594,0.004563981707724977,5
Qwen2.5-3B,3.0,static_threshold,Static-threshold,2.939669189453125,0.003927552464603316,5
TinyLlama-1.1B,1.1,edge_only,Edge-only,1.6009414672851563,0.0015429670396655882,5
TinyLlama-1.1B,1.1,ours,Ours,1.5988391876220702,0.0020320228976460518,5
TinyLlama-1.1B,1.1,static_threshold,Static-threshold,1.6009414672851563,0.0015429670396655882,5
