network,network_label,strategy,strategy_label,request_count,mean_ttft_ms,mean_e2e_ms,p95_e2e_ms,p99_e2e_ms,mean_tpot_ms,mean_throughput_tps,cache_hit_ratio,prefix_hit_ratio,mean_bandwidth_bytes,mean_vram_peak_gb,privacy_exposure_rate,mean_quality
congested,Congested,cloud_only,Cloud-only,24.0,390.2844507807874,612.8981735664211,1287.085829770754,1487.0521160469268,1.6129032258064513,138.27954909812502,0.0,0.0,419.0416666666667,0.0,1.0,0.7800416666666666
congested,Congested,edge_only,Edge-only,24.0,421.129669601147,598.8555579908874,633.9379103665829,748.7847699434672,2.588471996200759,104.45026827924482,0.0,0.0,547.6666666666666,3.4904632568359375,0.0,0.5904583333333333
congested,Congested,no_privacy,No-privacy,24.0,393.8891882713628,623.5659903096347,1314.1415578969936,1488.0316029110013,1.6129032258064513,136.5477630826451,0.0,0.0,419.0416666666667,0.0,1.0,0.7800416666666666
congested,Congested,ours,Ours,24.0,374.87499241221605,533.5239165801738,656.1049956684865,792.4781504752216,2.360145953441107,579.5432592087344,0.125,0.0,503.4583333333333,3.0541553497314453,0.0,0.6351666666666667
mobile_4g5g,4G/5G,cloud_only,Cloud-only,24.0,368.76420027305477,571.6917499591297,1238.7179092815832,1531.5776672884704,1.6129032258064513,156.4485431466951,0.0,0.0,419.0416666666667,0.0,1.0,0.7800416666666666
mobile_4g5g,4G/5G,edge_only,Edge-only,24.0,413.54246065014496,580.9242206250847,622.264696022756,639.9738830347551,2.57793450132475,106.75555503179244,0.0,0.0,554.75,3.4904632568359375,0.0,0.5869166666666666
mobile_4g5g,4G/5G,no_privacy,No-privacy,24.0,378.2053240072832,586.9506635755243,1250.9720127027142,1516.3676101374558,1.6129032258064513,155.4876733768819,0.0,0.0,419.0416666666667,0.0,1.0,0.7800416666666666
mobile_4g5g,4G/5G,ours,Ours,24.0,284.48374333740344,426.09774888615476,615.6832743156554,636.5060480985649,2.0779489653081358,664.4897950489571,0.125,0.0,481.7083333333333,2.181539535522461,0.0,0.6800416666666665
weak,Weak,cloud_only,Cloud-only,24.0,436.3112526137971,715.4355058265937,1337.653291488377,1660.9648820130164,1.6129032258064513,111.36545492782705,0.0,0.0,419.0416666666667,0.0,1.0,0.7800416666666666
weak,Weak,edge_only,Edge-only,24.0,432.4540890597079,625.4450433223234,654.9989234739999,824.173884431898,2.593638848797769,101.7751794084433,0.0,0.0,550.5,3.4904632568359375,0.0,0.5888333333333334
weak,Weak,no_privacy,No-privacy,24.0,420.47557542558985,686.2060927817005,1245.3592329943351,1592.1933652606751,1.6129032258064513,115.5483870227627,0.0,0.0,419.0416666666667,0.0,1.0,0.7800416666666666
weak,Weak,ours,Ours,24.0,382.6137556543528,554.1541721158275,664.1570776151868,780.2138079906082,2.3260041941940086,501.7533046116741,0.125,0.0,510.7916666666667,3.0541553497314453,0.0,0.6339166666666667
wifi_good,WiFi Good,cloud_only,Cloud-only,24.0,361.89317007929714,541.4106167604382,1133.7354911357093,1448.619927397275,1.6129032258064513,171.8942224142423,0.0,0.0,419.0416666666667,0.0,1.0,0.7800416666666666
wifi_good,WiFi Good,edge_only,Edge-only,24.0,402.4746667302363,560.5310474005994,599.4461902669651,603.1042978971725,2.517401770028226,111.88177215567752,0.0,0.0,552.0416666666666,3.490056355794271,0.0,0.5862083333333333
wifi_good,WiFi Good,no_privacy,No-privacy,24.0,358.3184456255228,532.310065459877,1091.8229369101782,1453.3079986290838,1.6129032258064513,176.5016764552369,0.0,0.0,419.0416666666667,0.0,1.0,0.7800416666666666
wifi_good,WiFi Good,ours,Ours,24.0,274.9309066519997,409.33094514240383,610.2805529712216,613.7122524752735,2.074585535619678,671.3653217776182,0.125,0.0,475.4166666666667,2.181539535522461,0.0,0.6806666666666666
